19,82
92,56
72,85
89,12
100,12
95,10
1,55
33,72
72,47
11,74
26,9
48,75
80,9
61,12
49,26
34,47
13,6
22,89
24,22
47,14
19,57
33,37
4,86
81,69
82,96
59,8
66,77
83,9
70,10
74,79
20,16
29,83
1,73
73,28
54,58
32,14
15,92
44,52
37,53
83,96
5,86
59,67
97,6
6,32
9,90
54,82
51,25
80,13
5,62
65,54
23,88
68,92
94,19
42,11
43,62
69,99
48,64
70,86
78,26
21,60
65,44
2,32
18,83
59,15
82,40
91,29
94,81
12,81
28,53
12,30
68,43
42,9
9,95
60,16
68,86
17,19
45,70
72,89
5,20
99,65
69,26
23,17
93,38
21,12
78,27
12,21
4,47
79,82
39,14
94,79
70,90
82,26
18,37
71,78
33,6
61,63
77,79
45,27
79,33
50,41
