17,52
43,88
45,84
55,79
2,42
72,87
21,1
76,28
39,69
23,14
32,78
52,71
40,7
15,98
68,87
94,69
44,39
24,33
30,40
2,7
3,94
21,89
94,30
62,28
98,64
34,93
93,36
59,9
72,38
41,37
35,48
95,82
100,6
27,98
7,12
57,5
33,45
85,67
76,15
34,40
43,62
66,38
15,41
59,73
34,18
38,5
27,22
32,26
62,70
13,45
98,6
94,94
6,57
20,78
55,65
42,47
84,76
90,94
2,93
32,8
45,61
52,30
25,86
57,8
2,92
87,64
24,81
14,99
34,99
27,6
31,100
91,74
3,86
7,19
66,49
32,3
36,76
77,18
17,14
45,4
2,93
87,50
53,38
32,99
32,20
3,29
77,33
41,53
45,17
65,35
41,84
96,25
38,38
9,27
30,7
31,24
84,39
83,39
75,24
13,75
